Year,Week Reported,County,Positive Cases
"2006","35","Alameda","1"
"2006","33","Butte","4"
"2006","34","Butte","1"
"2006","35","Butte","10"
"2006","36","Butte","2"
"2006","37","Butte","8"
"2006","38","Butte","3"
"2006","39","Butte","2"
"2006","43","Butte","1"
"2006","31","Colusa","1"
"2006","35","Colusa","1"
"2006","41","Colusa","1"
"2006","34","Contra Costa","3"
"2006","35","Contra Costa","1"
"2006","36","Contra Costa","1"
"2006","37","Contra Costa","1"
"2006","38","Contra Costa","1"
"2006","39","Contra Costa","1"
"2006","34","El Dorado","1"
"2006","48","El Dorado","1"
"2006","30","Fresno","1"
"2006","33","Fresno","3"
"2006","34","Fresno","1"
"2006","35","Fresno","2"
"2006","36","Fresno","1"
"2006","41","Fresno","1"
"2006","45","Fresno","1"
"2006","46","Fresno","1"
"2006","32","Glenn","2"
"2006","34","Glenn","1"
"2006","35","Glenn","3"
"2006","36","Glenn","2"
"2006","37","Glenn","1"
"2006","39","Glenn","3"
"2006","39","Imperial","1"
"2006","25","Kern","1"
"2006","29","Kern","1"
"2006","30","Kern","8"
"2006","31","Kern","1"
"2006","32","Kern","6"
"2006","33","Kern","3"
"2006","34","Kern","5"
"2006","35","Kern","5"
"2006","36","Kern","2"
"2006","37","Kern","6"
"2006","38","Kern","3"
"2006","39","Kern","4"
"2006","40","Kern","2"
"2006","42","Kern","1"
"2006","46","Kern","1"
"2006","33","Kings","1"
"2006","36","Lake","1"
"2006","40","Lake","1"
"2006","32","Los Angeles","1"
"2006","34","Los Angeles","1"
"2006","35","Los Angeles","1"
"2006","37","Los Angeles","2"
"2006","38","Los Angeles","3"
"2006","39","Los Angeles","1"
"2006","41","Los Angeles","2"
"2006","45","Los Angeles","1"
"2006","37","Marin","1"
"2006","33","Merced","1"
"2006","38","Merced","1"
"2006","41","Merced","1"
"2006","42","Merced","1"
"2006","32","Modoc","1"
"2006","37","Modoc","1"
"2006","34","Mono","1"
"2006","39","Napa","1"
"2006","35","Nevada","1"
"2006","34","Orange","2"
"2006","35","Orange","1"
"2006","38","Orange","2"
"2006","44","Orange","1"
"2006","33","Placer","1"
"2006","34","Placer","1"
"2006","35","Placer","2"
"2006","37","Placer","2"
"2006","38","Placer","1"
"2006","41","Placer","1"
"2006","33","Riverside","1"
"2006","37","Riverside","2"
"2006","43","Riverside","1"
"2006","31","Sacramento","1"
"2006","32","Sacramento","1"
"2006","33","Sacramento","2"
"2006","34","Sacramento","1"
"2006","35","Sacramento","2"
"2006","37","Sacramento","3"
"2006","38","Sacramento","1"
"2006","43","Sacramento","2"
"2006","45","Sacramento","1"
"2006","46","Sacramento","1"
"2006","39","San Bernardino","1"
"2006","43","San Bernardino","2"
"2006","39","San Diego","1"
"2006","29","San Joaquin","1"
"2006","33","San Joaquin","2"
"2006","34","San Joaquin","2"
"2006","38","San Joaquin","2"
"2006","39","San Joaquin","1"
"2006","35","San Luis Obispo","1"
"2006","33","Santa Clara","1"
"2006","35","Santa Clara","2"
"2006","36","Santa Clara","1"
"2006","39","Santa Clara","1"
"2006","35","Shasta","1"
"2006","36","Shasta","1"
"2006","41","Shasta","1"
"2006","42","Shasta","1"
"2006","33","Solano","2"
"2006","39","Solano","4"
"2006","29","Stanislaus","1"
"2006","33","Stanislaus","2"
"2006","34","Stanislaus","1"
"2006","35","Stanislaus","2"
"2006","36","Stanislaus","1"
"2006","37","Stanislaus","2"
"2006","39","Stanislaus","1"
"2006","41","Stanislaus","1"
"2006","29","Sutter","1"
"2006","32","Sutter","2"
"2006","34","Sutter","3"
"2006","35","Sutter","3"
"2006","37","Sutter","2"
"2006","40","Sutter","1"
"2006","36","Tehama","2"
"2006","38","Tehama","1"
"2006","36","Tulare","3"
"2006","37","Tulare","1"
"2006","40","Tulare","1"
"2006","41","Tulare","2"
"2006","42","Tulare","1"
"2006","35","Ventura","1"
"2006","36","Ventura","2"
"2006","30","Yolo","2"
"2006","31","Yolo","1"
"2006","32","Yolo","5"
"2006","33","Yolo","7"
"2006","34","Yolo","4"
"2006","35","Yolo","2"
"2006","36","Yolo","1"
"2006","37","Yolo","3"
"2006","41","Yolo","1"
"2006","37","Yuba","3"
"2006","44","Yuba","2"
"2007","30","Butte","2"
"2007","32","Butte","4"
"2007","33","Butte","1"
"2007","34","Butte","1"
"2007","35","Butte","2"
"2007","36","Butte","1"
"2007","37","Butte","5"
"2007","30","Colusa","1"
"2007","39","Colusa","1"
"2007","38","Contra Costa","1"
"2007","39","Contra Costa","1"
"2007","50","Contra Costa","1"
"2007","30","Fresno","2"
"2007","31","Fresno","3"
"2007","32","Fresno","2"
"2007","33","Fresno","1"
"2007","34","Fresno","1"
"2007","35","Fresno","1"
"2007","37","Fresno","1"
"2007","38","Fresno","1"
"2007","39","Fresno","2"
"2007","43","Fresno","2"
"2007","45","Fresno","1"
"2007","29","Glenn","1"
"2007","31","Glenn","1"
"2007","32","Glenn","2"
"2007","34","Glenn","1"
"2007","35","Glenn","2"
"2007","30","Imperial","1"
"2007","34","Imperial","1"
"2007","36","Imperial","1"
"2007","16","Kern","1"
"2007","25","Kern","1"
"2007","27","Kern","2"
"2007","28","Kern","5"
"2007","29","Kern","14"
"2007","30","Kern","6"
"2007","31","Kern","10"
"2007","32","Kern","10"
"2007","33","Kern","16"
"2007","34","Kern","14"
"2007","35","Kern","13"
"2007","36","Kern","9"
"2007","37","Kern","7"
"2007","38","Kern","8"
"2007","39","Kern","2"
"2007","40","Kern","8"
"2007","41","Kern","6"
"2007","42","Kern","2"
"2007","44","Kern","2"
"2007","45","Kern","2"
"2007","46","Kern","1"
"2007","49","Kern","1"
"2007","31","Kings","1"
"2007","33","Kings","1"
"2007","36","Kings","1"
"2007","37","Kings","2"
"2007","40","Kings","2"
"2007","32","Los Angeles","1"
"2007","33","Los Angeles","3"
"2007","35","Los Angeles","2"
"2007","36","Los Angeles","2"
"2007","37","Los Angeles","5"
"2007","39","Los Angeles","11"
"2007","40","Los Angeles","6"
"2007","41","Los Angeles","5"
"2007","43","Los Angeles","1"
"2007","39","Madera","1"
"2007","41","Madera","1"
"2007","29","Mendocino","1"
"2007","38","Mendocino","1"
"2007","29","Merced","1"
"2007","31","Merced","2"
"2007","37","Merced","1"
"2007","40","Napa","1"
"2007","33","Orange","2"
"2007","36","Orange","1"
"2007","39","Orange","4"
"2007","40","Orange","1"
"2007","44","Orange","1"
"2007","37","Placer","2"
"2007","42","Placer","1"
"2007","46","Placer","1"
"2007","35","Riverside","1"
"2007","37","Riverside","6"
"2007","38","Riverside","2"
"2007","39","Riverside","1"
"2007","41","Riverside","4"
"2007","42","Riverside","1"
"2007","45","Riverside","1"
"2007","46","Riverside","1"
"2007","31","Sacramento","1"
"2007","33","Sacramento","2"
"2007","34","Sacramento","4"
"2007","35","Sacramento","3"
"2007","36","Sacramento","3"
"2007","38","Sacramento","1"
"2007","40","Sacramento","2"
"2007","41","Sacramento","3"
"2007","43","Sacramento","3"
"2007","44","Sacramento","2"
"2007","48","Sacramento","1"
"2007","33","San Bernardino","1"
"2007","36","San Bernardino","1"
"2007","39","San Bernardino","1"
"2007","44","San Bernardino","1"
"2007","36","San Diego","2"
"2007","38","San Diego","2"
"2007","39","San Diego","4"
"2007","40","San Diego","6"
"2007","42","San Diego","1"
"2007","28","San Joaquin","1"
"2007","31","San Joaquin","1"
"2007","33","San Joaquin","1"
"2007","36","San Joaquin","1"
"2007","39","San Joaquin","2"
"2007","42","San Joaquin","4"
"2007","31","Santa Clara","1"
"2007","32","Santa Clara","1"
"2007","40","Santa Clara","2"
"2007","30","Shasta","1"
"2007","35","Shasta","1"
"2007","36","Shasta","2"
"2007","37","Shasta","2"
"2007","38","Shasta","1"
"2007","39","Shasta","1"
"2007","41","Shasta","1"
"2007","34","Solano","1"
"2007","30","Sonoma","1"
"2007","29","Stanislaus","1"
"2007","30","Stanislaus","1"
"2007","31","Stanislaus","2"
"2007","33","Stanislaus","2"
"2007","34","Stanislaus","4"
"2007","36","Stanislaus","1"
"2007","37","Stanislaus","1"
"2007","38","Stanislaus","1"
"2007","39","Stanislaus","3"
"2007","40","Stanislaus","1"
"2007","41","Stanislaus","1"
"2007","42","Stanislaus","1"
"2007","43","Stanislaus","1"
"2007","44","Stanislaus","1"
"2007","32","Sutter","1"
"2007","33","Sutter","1"
"2007","48","Sutter","1"
"2007","33","Tehama","3"
"2007","36","Tehama","1"
"2007","38","Tulare","7"
"2007","40","Tulare","3"
